p,q,aic,bic
13,0,-3884.7327152167095,-3811.1163860319775
13,1,-3885.744142528801,-3807.220058065087
13,2,-3882.493159055725,-3799.0613193130284
13,3,-3879.9418289016994,-3791.602233880021
13,4,-3878.191846123802,-3784.9444958231416
13,5,-3875.6126812280772,-3777.4575756484346
13,6,-3874.421766771853,-3771.358905913228
13,7,-3872.754612949702,-3764.7839968120948
13,8,-3873.7032166102636,-3760.8248451936743
13,9,-3871.3147562616623,-3753.528629566091
13,10,-3881.3390646594125,-3758.6451826848593
13,11,-3880.6221926433454,-3753.02055538981
13,12,-3875.5727769704636,-3743.063384437946
13,13,-3871.912527555209,-3734.4953797437092
13,14,-3873.417251767287,-3731.0923486768047
13,15,-3869.613624938942,-3722.380966569478
13,16,-3869.2557251089097,-3717.1153114604635
13,17,-3862.9524303600474,-3705.904261432619
13,18,-3867.6103725343264,-3705.654448327916
13,19,-3867.818002902277,-3700.954323416884
14,0,-3884.378491608628,-3805.8544071449137
14,1,-3885.4312250885805,-3801.999385345884
14,2,-3883.6491984611966,-3795.309603439518
14,3,-3881.982048836094,-3788.7346985354334
14,4,-3880.9094123621253,-3782.7543067824827
14,5,-3875.8058262924947,-3772.74296543387
14,6,-3876.812906315152,-3768.842290177545
14,7,-3874.508426758087,-3761.6300553414976
14,8,-3876.203287157621,-3758.4171604620497
14,9,-3872.652741703183,-3749.9588597286297
14,10,-3879.010562125419,-3751.4089248718833
14,11,-3878.9917099333506,-3746.482317400833
14,12,-3873.765220008102,-3736.348072196602
14,13,-3865.3472593288234,-3723.022356238341
14,14,-3870.081765363408,-3722.849106993944
14,15,-3868.779083370453,-3716.638669722007
14,16,-3868.741809563572,-3711.6936406361438
14,17,-3870.486247537437,-3708.5303233310265
14,18,-3871.0384931831186,-3704.1748136977258
14,19,-3868.3872494937327,-3696.615814729358
15,0,-3885.8751429098793,-3802.443303167183
15,1,-3885.047012744327,-3796.707417722648
15,2,-3883.1650693991996,-3789.9177190985392
15,3,-3881.257597912541,-3783.1024923328982
15,4,-3878.9543115107062,-3775.8914506520814
15,5,-3877.8705232561056,-3769.8999071184985
15,6,-3877.3087825531047,-3764.4304111365154
15,7,-3875.3467558105544,-3757.5606291149834
15,8,-3876.703957165484,-3754.010075190931
15,9,-3874.4510707294503,-3746.849433475915
15,10,-3876.996713709988,-3744.48732117747
15,11,-3876.7384462803366,-3739.3212984688366
15,12,-3871.579260764167,-3729.254357673685
15,13,-3868.9644345358383,-3721.7317761663744
15,14,-3870.204278759352,-3718.0638651109057
15,15,-3865.9032687463578,-3708.8550998189294
15,16,-3866.1658295556135,-3704.209905349203
15,17,-3870.3742253475875,-3703.5105458621947
15,18,-3869.4916618756156,-3697.720227111241
15,19,-3869.128002540314,-3692.448812496957
16,0,-3884.9433577276113,-3796.6037627059327
16,1,-3882.9897199822512,-3789.742369681591
16,2,-3881.5192463728554,-3783.3641407932128
16,3,-3879.608301141682,-3776.5454402830574
16,4,-3877.5108028821905,-3769.5401867445835
16,5,-3876.58612169949,-3763.7077502829006
16,6,-3880.042025416177,-3762.2558987206057
16,7,-3874.9677025438996,-3752.2738205693463
16,8,-3876.1501089643175,-3748.548471710782
16,9,-3873.62798481083,-3741.1185922783125
16,10,-3875.8885546827396,-3738.4714068712397
16,11,-3874.6941137847884,-3732.3692106943063
16,12,-3869.5482992612788,-3722.315640891815
16,13,-3861.6556728643973,-3709.515259215951
16,14,-3862.2685215733795,-3705.220352645951
16,15,-3861.819287305977,-3699.8633630995664
16,16,-3864.244985336928,-3697.381305851535
16,17,-3868.2122313208242,-3696.4407965564496
16,18,-3865.637146640567,-3688.9579565972103
16,19,-3866.9077002913,-3685.320754968961
17,0,-3883.0031841111545,-3789.755833810494
17,1,-3881.0881593871936,-3782.933053807551
17,2,-3879.120196173335,-3776.05733531471
17,3,-3877.655001219635,-3769.684385082028
17,4,-3875.749454350041,-3762.871082933452
17,5,-3876.1599027747666,-3758.3737760791955
17,6,-3877.7034398071273,-3755.009557832574
17,7,-3873.337762968202,-3745.7361257146663
17,8,-3873.482280530974,-3740.9728879984564
17,9,-3872.7325758425804,-3735.3154280310805
17,10,-3873.2693587552317,-3730.9444556647495
17,11,-3872.246566873101,-3725.013908503637
17,12,-3867.368446179778,-3715.228032531332
17,13,-3862.2476573769345,-3705.199488449506
17,14,-3860.281448881279,-3698.3255246748686
17,15,-3860.3734008314386,-3693.509721346046
17,16,-3867.277015082408,-3695.5055803180335
17,17,-3865.5673057491304,-3688.8881157057735
17,18,-3865.86645257523,-3684.279507252891
17,19,-3865.399677081824,-3678.9049764805027
18,0,-3883.626141781988,-3785.471036202345
18,1,-3881.7566785501213,-3778.6938176914964
18,2,-3883.304369318631,-3775.333753181024
18,3,-3880.8807196729977,-3768.0023482564084
18,4,-3879.856864280334,-3762.0707375847624
18,5,-3877.228863812558,-3754.5349818380046
18,6,-3875.2143561128423,-3747.612718859307
18,7,-3873.528219111083,-3741.0188265785655
18,8,-3870.2534507789696,-3732.8363029674697
18,9,-3868.723609736171,-3726.398706645689
18,10,-3868.301708772203,-3721.069050402739
18,11,-3866.4436417417382,-3714.303228093292
18,12,-3865.3093699989163,-3708.261201071488
18,13,-3863.860225127695,-3701.904300921284
18,14,-3860.715930545909,-3693.852251060516
18,15,-3859.8931086872312,-3688.1216739228566
18,16,-3869.283958463384,-3692.604768420027
18,17,-3862.5055626489834,-3680.9186173266444
18,18,-3867.292441687913,-3680.797741086592
18,19,-3867.0591911226766,-3675.656735242373
19,0,-3882.2939791722756,-3779.2311183136508
19,1,-3880.1891130492127,-3772.2184969116056
19,2,-3880.8746505086738,-3767.9962790920845
19,3,-3880.6508058514637,-3762.864679155892
19,4,-3877.5202012232203,-3754.826319248667
19,5,-3877.829410696473,-3750.2277734429376
19,6,-3876.119500667031,-3743.610108134513
19,7,-3869.891511038458,-3732.474363226958
19,8,-3871.8143823417545,-3729.4894792512723
19,9,-3867.8151334418944,-3720.5824750724305
19,10,-3867.381778679579,-3715.241365031133
19,11,-3867.088559523275,-3710.0403905958465
19,12,-3865.1914666604353,-3703.2355424540247
19,13,-3862.856509740763,-3695.9928302553703
19,14,-3859.994556184827,-3688.2231214204526
19,15,-3858.1099339620114,-3681.4307439186546
19,16,-3868.0061648286246,-3686.4192195062856
19,17,-3862.603001928212,-3676.108301326891
19,18,-3865.5028818075593,-3674.100425927256
19,19,-3862.6037381205083,-3666.2935269612226
